State,Capital city,Second city,Third city,Statehood,Capital since,Size rank
Alabama,Montgomery,Huntsville,Auburn,1819,1846,2
Alaska,Juneau,Anchorage,Fairbanks,1959,1906,3
Arizona,Phoenix,Tucson,Scottsdale,1912,1889,1
Arkansas,Little Rock,Hot Springs ,Bentonville,1836,1821,1
California,Sacramento,Los Angeles,San Francisco,1850,1854,6
Colorado,Denver,Colorado Springs,Boulder,1876,1867,1
Connecticut,Hartford,New Milford,New Haven,1788,1875,3
Delaware,Dover,Wilmington,Newark,1787,1777,2
Florida,Tallahassee,Jacksonville,Orlando,1845,1824,7
Georgia,Atlanta,Savannah,Athens,1788,1868,1
Hawaii,Honolulu,Lahaina,Hilo,1959,1845,1
Idaho,Boise,Nampa,Meridian,1890,1865,1
Illinois,Springfield,Chicago,Rockford,1818,1837,6
Indiana,Indianapolis,Fort Wayne,Bloomington,1816,1825,1
Iowa,Des Moines,Iowa City ,Cedar Rapids,1846,1857,1
Kansas,Topeka,Wichita,Kansas City,1861,1856,4
Kentucky,Frankfort,Louisville,Lexington,1792,1792,14
Louisiana,Baton Rouge,New Orleans,Lafayette,1812,1880,2
Maine,Augusta,Vinalhaven,Portland,1820,1832,8
Maryland,Annapolis,Baltimore,Ocean City,1788,1694,7
Massachusetts,Boston,Cambridge,Worcester,1788,1630,1
Michigan,Lansing,Detroit,Ann Arbor,1837,1847,5
Minnesota,Saint Paul,Hibbing,Minneapolis,1858,1849,2
Mississippi,Jackson, Mississippi State,Biloxi,1817,1821,1
Missouri,Jefferson City,Kansas City,Springfield,1821,1826,15
Montana,Helena,Anaconda,Bozeman,1889,1875,6
Nebraska,Lincoln,Omaha,Grand Island,1867,1867,2
Nevada,Carson City,Boulder City,Las Vegas,1864,1861,6
New Hampshire,Concord,Manchester,Nashua,1788,1808,3
New Jersey,Trenton,Jackson Township,Jersey City,1787,1784,10
New Mexico,Santa Fe,Albuquerque,Roswell,1912,1610,4
New York,Albany,New York City,Buffalo,1788,1797,6
North Carolina,Raleigh,Charlotte,Fayetteville,1789,1792,2
North Dakota,Bismarck,Fargo,West Fargo,1889,1883,2
Ohio,Columbus,Cincinnati,Cleveland,1803,1816,1
Oklahoma,Oklahoma City,Tulsa,Norman,1907,1910,1
Oregon,Salem,Portland,Oregon City,1859,1855,3
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh,1787,1812,9
Rhode Island,Providence,Newport,Warwick,1790,1900,1
South Carolina,Columbia,Charleston,Greenville,1788,1786,2
South Dakota,Pierre,Sioux Falls,Rapid City,1889,1889,8
Tennessee,Nashville,Memphis,Knoxville,1796,1826,1
Texas,Austin,Houston,Dallas,1845,1839,4
Utah,Salt Lake City,Park City,Provo,1896,1858,1
Vermont,Montpelier,Burlington,Stowe,1791,1805,6
Virginia,Richmond,Virginia Beach,Hampton,1788,1780,4
Washington,Olympia,Seattle,Vashon,1889,1853,24
West Virginia,Charleston,Morgantown,Huntington,1863,1885,1
Wisconsin,Madison,Milwaukee,Wisconsin Dells,1848,1838,2
Wyoming,Cheyenne,Jackson,Casper,1890,1869,1
